time (s),freq(clip(vtime("tran" "/OUT" nil ) 50n 100n ) "rising" ?xName "time" ?mode "user" ?threshold -0.06) (Hz)
80.46E-9,15.87E9
80.52E-9,15.87E9
80.58E-9,15.87E9
80.65E-9,15.87E9
80.71E-9,15.88E9
80.77E-9,15.87E9
80.83E-9,15.87E9
80.90E-9,15.88E9
80.96E-9,15.88E9
81.02E-9,15.88E9
81.09E-9,15.87E9
81.15E-9,15.88E9
81.21E-9,15.87E9
81.28E-9,15.88E9
81.34E-9,15.89E9
81.40E-9,15.87E9
81.46E-9,15.87E9
81.53E-9,15.88E9
81.59E-9,15.88E9
81.65E-9,15.88E9
81.72E-9,15.87E9
81.78E-9,15.88E9
81.84E-9,15.88E9
81.91E-9,15.87E9
81.97E-9,15.88E9
82.03E-9,15.88E9
82.09E-9,15.88E9
82.16E-9,15.88E9
82.22E-9,15.88E9
82.28E-9,15.88E9
82.35E-9,15.88E9
82.41E-9,15.88E9
82.47E-9,15.88E9
82.54E-9,15.88E9
82.60E-9,15.88E9
82.66E-9,15.88E9
82.72E-9,15.88E9
82.79E-9,15.87E9
82.85E-9,15.87E9
82.91E-9,15.88E9
82.98E-9,15.87E9
83.04E-9,15.86E9
83.10E-9,15.86E9
83.17E-9,15.86E9
83.23E-9,15.86E9
83.29E-9,15.86E9
83.35E-9,15.87E9
83.42E-9,15.87E9
83.48E-9,15.86E9
83.54E-9,15.87E9
83.61E-9,15.87E9
83.67E-9,15.87E9
83.73E-9,15.87E9
83.80E-9,15.87E9
83.86E-9,15.88E9
83.92E-9,15.87E9
83.98E-9,15.87E9
84.05E-9,15.87E9
84.11E-9,15.88E9
84.17E-9,15.88E9
84.24E-9,15.87E9
84.30E-9,15.88E9
84.36E-9,15.88E9
84.43E-9,15.87E9
84.49E-9,15.87E9
84.55E-9,15.88E9
84.61E-9,15.88E9
84.68E-9,15.88E9
84.74E-9,15.87E9
84.80E-9,15.88E9
84.87E-9,15.88E9
84.93E-9,15.89E9
84.99E-9,15.88E9
85.06E-9,15.87E9
85.12E-9,15.88E9
85.18E-9,15.88E9
85.24E-9,15.88E9
85.31E-9,15.87E9
85.37E-9,15.87E9
85.43E-9,15.87E9
85.50E-9,15.88E9
85.56E-9,15.87E9
85.62E-9,15.87E9
85.69E-9,15.87E9
85.75E-9,15.87E9
85.81E-9,15.88E9
85.87E-9,15.88E9
85.94E-9,15.88E9
86.00E-9,15.87E9
86.06E-9,15.86E9
86.13E-9,15.87E9
86.19E-9,15.87E9
86.25E-9,15.87E9
86.32E-9,15.86E9
86.38E-9,15.86E9
86.44E-9,15.87E9
86.50E-9,15.87E9
86.57E-9,15.87E9
86.63E-9,15.86E9
86.69E-9,15.87E9
86.76E-9,15.87E9
86.82E-9,15.87E9
86.88E-9,15.86E9
